BJCD,SGG_NAME,YEAR,SERVICE_BUSINESS_COUNT,TRANSPORT_BUSINESS_COUNT,MANUFACTURING_BUSINESS_COUNT,YTH_EMP_RT,INFECT_DIS_CT,TRAFFIC_DTH_CT,T_SUICIDE_RT_100K,CLIMATE_DMG_IMPACT,TRAFFIC_ACC_PER_100K,FIRE_ACC_PER_100K,FIRE_DTH_CT,FIRE_DMG,TEACHERS,UNIVERSITIES,UNIVERSITY_ADMISSION_RATE,KINDERGARTEN_TEACHERS,STUDENTS_PER_HIGH_CLASS,PRIVATE_ACADEMIES,MAX_TEMP,MIN_TEMP,AVG_WIND_SPD,MAX_GUST_SPD,MAX_GUST_DIR_DEG,TOTAL_RAIN,HOSPITAL_COUNT,WELFARE_FACILITY,PHC_CNT,DOCTORS,CLINIC,GEN_HOSP,BED_TOTAL,HIGH_RISK_DRINK_RT,WELFARE_RATIO,STRESS_AWARE_SOCIAL_PROT,SELF_HEALTH_AWARE_RT,GENDER_RATIO,FOREIGNERS,SELF_FINANCE,CMR,LAND_AREA,TFR,SINGLE_HOUSEHOLD_RATIO,COMMERCIAL_AREA,INDUSTRIAL_AREA,CAR_REGISTRATION_PER_CAPTICA,RENTAL_NATIONAL,RENTAL_PERMANENT,RENTAL_HAPPY,WATER_SUPPLY_RATE,HOUSE_CNT,SEWERAGE_SUPPLY_RATE,GREEN_RT,PARK,CULTURE,SPORTS_FACILITIES,YOUTH_NET_MOVE_RATE
11350,서울특별시 노원구,2020,8.530312752,7.083329121,250.27,39,126.19,0.96,22.2,0,279.5,33,1.53,14.25515599,1285.19,1.15,59.2,96.74,23.65,137.28,36.4,-15.8,1.2,13.6,92.8,1684.5,1.15,3.82,0.19,241.09,4.237867539,0.57,684.85,9.4,51.55,24.4,65.3,93.2,763.81,15.8,380,187.75,0.695,27.8,0.22,0,10.30898599,0,1401.24,3.001714345,100,36175.83,100,59.15,24.85,4.02,0.96,-3.1
11380,서울특별시 은평구,2020,8.623876632,6.897795848,323.24,47.1,162.76,2.92,23.5,0,198.6,40,0.42,15.67952226,779.64,0.21,58.7,62.1,24.44,108.16,35.1,-16.8,2.1,15.5,171.6,1561,2.29,4.58,0.21,172.56,4.218036035,0.42,794.44,11.2,53.6,31.7,54.5,92.3,876.97,17.9,440,224.04,0.623,30.3,0.22,0,10.30898599,0,0,0,100,31397.88,100,46.67,17.51,3.33,0.42,2.7
11410,서울특별시 서대문구,2020,8.834865526,6.975974518,349.17,42.6,256.59,1.92,24.3,0,297.3,71,1.92,16.13877703,1600.71,1.92,65.6,63.11,25.12,111.48,36.4,-13.4,1.3,15.1,129.3,1603.5,1.6,6.09,0.32,476.02,4.228146752,0.32,1195.81,10.3,42.52,20.8,65.3,91.7,3452.89,23.4,410,186.11,0.685,37.5,0.29,0,10.30898599,0,0,0,100,32365.39,100,11.1,28.19,4.48,0,4.3
11440,서울특별시 마포구,2020,9.457027779,6.960603863,553.39,48.4,98.69,3.5,19.7,0,342,65,2.42,15.21162463,868.54,0.54,57.2,62.38,25.31,185.27,36.6,-12.9,2.6,17.6,261.6,1256,0.81,3.23,0.27,154.62,4.626050664,0,248.73,13.7,46.25,29.6,67.7,89,2680.36,31.6,530,175.05,0.594,39.3,0.68,0,10.30898599,0,0,4.588430862,100,32889.03,100,40.03,26.89,3.5,0.54,3.8
11470,서울특별시 양천구,2020,8.65852781,7.17405027,360.59,39.7,114.47,1.54,19.3,0,295.9,34,0.88,13.84229304,920.42,0,59.6,79.91,24.95,221.9,36.6,-11.8,1.4,10.6,45,1490.5,1.1,5.06,0.22,199.67,4.158257888,0.66,635.33,9.4,47.35,30.1,63.2,96.3,777.1,25.2,360,125.48,0.644,23.8,0.39,0.039220713,10.30898599,0,0,0,100,31649.68,100,23.14,24.22,2.64,0.66,-2.6
11500,서울특별시 강서구,2020,8.919711295,7.289153079,343.34,53.8,106.52,2.93,23.8,0,271.5,37,1.72,14.71836267,789.23,0.17,59.2,80.32,22.59,119.62,35.8,-12.1,1.7,13,70.3,1391,2.93,1.9,0.17,178.56,4.276804998,0.69,815.08,12.1,52.53,31,57.2,93.3,985.2,21.1,560,225.62,0.675,35.3,0.39,0.625938431,10.59665973,60.33,1350.26,0,100,33675.98,100,54.27,27.41,2.59,0.17,1.9
11530,서울특별시 구로구,2020,9.17861748,7.169496272,1148.84,48.4,229.97,2.47,19.7,0,327.6,39,2.72,15.8657857,843.46,0.74,64.9,62.56,24.41,97.43,35.3,-11.9,2.1,21.9,149.1,1435,1.98,2.97,0.25,261.86,4.208714372,0.25,1096.17,14.3,48.75,27.9,55.5,97.5,6943.48,22.2,510,176.8,0.737,31.1,0.31,1.269760545,10.59665973,0,0,5.398479393,100,32890.55,100,25.61,16.32,3.71,0.74,2.3
11545,서울특별시 금천구,2020,9.58801693,7.202705872,2886.94,60.6,120.83,2.59,28,0,349.5,55,0.86,16.71499088,701.67,0,66.6,59.98,22.82,91.48,35.7,-12.1,1.7,14.1,157.5,1560,2.59,1.73,0.43,144.13,4.249066507,0.43,958,13.2,45,31.1,53.6,102.4,6948.51,24.7,560,207.13,0.668,40.9,0.28,2.161021529,10.59665973,0,0,0,100,29691.07,100,22.25,20.71,3.02,0.43,4.6
11560,서울특별시 영등포구,2020,9.413485277,7.300776617,1304.15,54.9,185.52,1.84,21.3,0,581.8,59,0.26,15.13456388,644.3,0,62.3,81.16,22.94,117.27,36,-11.8,1.6,12.6,157.5,1353.8,2.11,2.64,0.26,372.35,4.554718642,1.84,1538.16,13.4,44.17,31.7,49.4,97.8,7348.74,36,660,205.28,0.705,39.4,1.81,1.501852702,10.59665973,0,0,0,100,28292.93,100,35.76,24.51,2.9,0.79,8.3
11590,서울특별시 동작구,2020,8.664120704,6.328882765,249.48,46.9,118.6,2.56,24.2,0,334.1,39,1.28,15.04472036,1015.03,0.77,55.2,63.39,24.89,120.39,36.4,-12.6,1.2,15,202.6,1540.5,1.28,3.07,0.26,254.33,4.24506078,0.26,710.85,14,61.17,26.8,61.6,93.6,2646.08,26.4,490,190.69,0.655,38.2,0.22,0,10.30898599,0,236.44,0,100,29552.43,100,13.74,20.45,2.04,0.51,1.7
